PRKCB,MGA,FAT1,RYR2,TP53,,,,,,,,,,
EIF4G1,COL1A1,BRAF,LPHN2,SORCS3,MMP16,CDH12,FAT1,SVEP1,KMT2C,RYR2,TP53,,,
CDKN2A,CREBBP,TP53,,,,,,,,,,,,
NTRK2,RYR2,TP53,,,,,,,,,,,,
SMAD4,ARID1A,MGA,KMT2A,,,,,,,,,,,
SMAD4,CDKN2A,KMT2A,PTPRD,RYR2,,,,,,,,,,
SORCS3,SMARCA4,AFF2,KMT2C,ASXL3,TP53,,,,,,,,,
MET,NF1,FAT1,SVEP1,KMT2C,RYR2,,,,,,,,,
SETD2,BRAF,KMT2C,,,,,,,,,,,,
PIK3CA,EPHA4,MMP16,AFF2,FAT1,ASXL3,PTPRD,TP53,,,,,,,
BAZ2B,NF1,KMT2C,ASXL3,TP53,,,,,,,,,,
RB1,NF1,TP53,,,,,,,,,,,,
CDH12,KMT2C,ASXL3,RYR2,TP53,,,,,,,,,,
NTRK2,DNMT3A,CDKN2A,CDH12,PTPRD,RYR2,TP53,,,,,,,,
CDK12,KMT2A,STK11,KMT2C,ASXL3,RYR2,TP53,,,,,,,,
AMER1,LPHN2,SMARCA4,STK11,RYR2,TP53,,,,,,,,,
KDR,CDH12,TP53,,,,,,,,,,,,
DNMT3A,MGA,RYR2,TP53,,,,,,,,,,,
BAZ2B,KDR,PTPRD,RYR2,TP53,,,,,,,,,,
PIK3CA,EPHA4,TP53,,,,,,,,,,,,
MMP16,SMARCA4,ASXL3,PTPRD,RYR2,TP53,,,,,,,,,
KMT2A,SVEP1,ASXL3,PTPRD,RYR2,TP53,,,,,,,,,
NUP98,PIK3CA,MGA,AFF2,STK11,TP53,,,,,,,,,
PIK3CA,FN1,ASXL3,,,,,,,,,,,,
EGFR,PTPRD,RYR2,TP53,,,,,,,,,,,
SETD2,NF1,TP53,,,,,,,,,,,,
MMP16,KMT2C,TP53,,,,,,,,,,,,
SMAD4,MGA,BRAF,MMP16,NF1,KMT2C,PTPRD,RYR2,TP53,,,,,,
EPHA4,COL1A1,AMER1,LPHN2,KDR,ATM,SORCS3,MMP16,AFF2,NF1,KMT2C,PTPRD,RYR2,TP53,
EGFR,RYR2,TP53,,,,,,,,,,,,
SETD2,LPHN2,SORCS3,NF1,SVEP1,,,,,,,,,,
BRAF,FAT1,STK11,KMT2C,TP53,,,,,,,,,,
NTRK2,STK11,KMT2C,RYR2,TP53,,,,,,,,,,
NCAM1,FN1,BAZ2B,CREBBP,LPHN2,EGFR,PTPRD,TP53,,,,,,,
NF1,STK11,TP53,,,,,,,,,,,,
RBM10,BRAF,PTPRD,,,,,,,,,,,,
BAZ2B,NF1,RYR2,TP53,,,,,,,,,,,
NTRK2,AMER1,BRAF,KDR,SORCS3,FAT1,SVEP1,ASXL3,PTPRD,RYR2,TP53,,,,
EIF4G1,COL1A1,DNMT3A,BAZ2B,SORCS3,CDH12,NF1,FAT1,SVEP1,KMT2C,ASXL3,PTPRD,RYR2,TP53,
MET,MAP3K4,EIF4G1,CREBBP,RB1,KDR,SORCS3,FAT1,KEAP1,RYR2,TP53,,,,
CDKN2A,CREBBP,SMARCA4,KMT2C,RYR2,TP53,,,,,,,,,
PRKCB,FAT1,KMT2C,ASXL3,RYR2,TP53,,,,,,,,,
NTRK2,RB1,MGA,SORCS3,NF1,SVEP1,KMT2C,,,,,,,,
EIF4G1,ARID1A,LPHN2,CDH12,TP53,,,,,,,,,,
RB1,RYR2,TP53,,,,,,,,,,,,
NTRK2,DNMT3A,NF1,KMT2C,RYR2,,,,,,,,,,
SVEP1,PTPRD,RYR2,TP53,,,,,,,,,,,
NUP98,RB1,EGFR,SVEP1,PTPRD,RYR2,,,,,,,,,
EIF4G1,PRKCB,AFF2,FAT1,STK11,ASXL3,PTPRD,RYR2,TP53,,,,,,
FN1,LPHN2,RYR2,TP53,,,,,,,,,,,
KMT2A,NF1,RYR2,,,,,,,,,,,,
PRKCB,MGA,BRAF,ASXL3,TP53,,,,,,,,,,
PIK3CA,CREBBP,ARID1A,MGA,FAT1,SVEP1,KMT2C,ASXL3,PTPRD,RYR2,TP53,,,,
SETD2,KMT2C,RYR2,,,,,,,,,,,,
AFF2,FAT1,KMT2C,TP53,,,,,,,,,,,
MET,MGA,TP53,,,,,,,,,,,,
COL1A1,CDKN2A,RBM10,CDH12,NF1,TP53,,,,,,,,,
COL1A1,AMER1,CREBBP,SMARCA4,SVEP1,RYR2,TP53,,,,,,,,
CDH12,KMT2C,RYR2,TP53,,,,,,,,,,,
SMARCA4,KMT2C,TP53,,,,,,,,,,,,
RB1,EGFR,TP53,,,,,,,,,,,,
SMAD4,FN1,CREBBP,SORCS3,AFF2,NF1,KMT2C,PTPRD,RYR2,TP53,,,,,
CTNNB1,EGFR,TP53,,,,,,,,,,,,
DNMT3A,CREBBP,KMT2C,,,,,,,,,,,,
MMP16,RYR2,TP53,,,,,,,,,,,,
SMAD4,EPHA4,BAZ2B,LPHN2,CDH12,ASXL3,PTPRD,RYR2,TP53,,,,,,
BRAF,MMP16,CDH12,FAT1,PTPRD,RYR2,TP53,,,,,,,,
PIK3CA,CDK12,RB1,LPHN2,KMT2C,ASXL3,PTPRD,RYR2,TP53,,,,,,
NTRK2,RBM10,KDR,NF1,KMT2C,TP53,,,,,,,,,
EPHA4,MMP16,SMARCA4,RYR2,TP53,,,,,,,,,,
SORCS3,CDH12,STK11,PTPRD,TP53,,,,,,,,,,
CDK12,MGA,EGFR,,,,,,,,,,,,
AFF2,NF1,PTPRD,TP53,,,,,,,,,,,
KDR,NF1,ASXL3,RYR2,TP53,,,,,,,,,,
SMARCA4,NF1,TP53,,,,,,,,,,,,
EPHA4,NF1,TP53,,,,,,,,,,,,
SMARCA4,NF1,PTPRD,KRAS,RYR2,TP53,,,,,,,,,
NCAM1,KMT2A,KDR,MMP16,CDH12,NF1,FAT1,SVEP1,RYR2,TP53,,,,,
PIK3CA,BRAF,SVEP1,STK11,RYR2,TP53,,,,,,,,,
PRKCB,AMER1,MGA,BRAF,KMT2A,EGFR,MMP16,CDH12,SVEP1,ASXL3,RYR2,TP53,,,
RBM10,BRAF,TP53,,,,,,,,,,,,
SETD2,EGFR,RYR2,TP53,,,,,,,,,,,
MGA,KDR,RYR2,,,,,,,,,,,,
EGFR,RYR2,TP53,,,,,,,,,,,,
BAZ2B,BRAF,KMT2A,SMARCA4,KMT2C,PTPRD,RYR2,TP53,,,,,,,
PIK3CA,BAZ2B,SETD2,BRAF,CDH12,ASXL3,,,,,,,,,
PRKCB,ARID1A,SETD2,KMT2A,,,,,,,,,,,
CREBBP,LPHN2,ATM,CDH12,FAT1,ASXL3,KRAS,RYR2,TP53,,,,,,
MAP3K4,EPHA4,MMP2,MGA,BRAF,KDR,MMP16,CDH12,FAT1,SVEP1,ASXL3,PTPRD,KRAS,RYR2,TP53
EGFR,FAT1,TP53,,,,,,,,,,,,
MAP3K4,KMT2C,TP53,,,,,,,,,,,,
AMER1,BRAF,ASXL3,RYR2,TP53,,,,,,,,,,
SMAD4,EGFR,TP53,,,,,,,,,,,,
MGA,RBM10,EGFR,RYR2,,,,,,,,,,,
MMP2,COL1A1,BAZ2B,KMT2A,LPHN2,MMP16,AFF2,FAT1,SVEP1,PTPRD,RYR2,TP53,,,
MET,CDK12,PRKCB,BRAF,SORCS3,SMARCA4,AFF2,KMT2C,RYR2,TP53,,,,,
NF1,RYR2,TP53,,,,,,,,,,,,
BRAF,KDR,KMT2C,PTPRD,RYR2,TP53,,,,,,,,,
DNMT3A,CDKN2A,EGFR,TP53,,,,,,,,,,,
CDKN2A,FAT1,RYR2,TP53,,,,,,,,,,,
FN1,KDR,SVEP1,TP53,,,,,,,,,,,
NCAM1,RBM10,PTPRD,RYR2,TP53,,,,,,,,,,
EGFR,RYR2,TP53,,,,,,,,,,,,
CDK12,BAZ2B,SORCS3,NF1,PTPRD,RYR2,TP53,,,,,,,,
ARID1A,EGFR,TP53,,,,,,,,,,,,
NCAM1,MMP2,CREBBP,SETD2,RBM10,ASXL3,PTPRD,RYR2,TP53,,,,,,
CREBBP,MGA,RBM10,CDH12,STK11,TP53,,,,,,,,,
KMT2C,ASXL3,RYR2,TP53,,,,,,,,,,,
ARID1A,SETD2,RBM10,KDR,AFF2,RYR2,TP53,,,,,,,,
AMER1,KMT2C,ASXL3,PTPRD,RYR2,TP53,,,,,,,,,
SMAD4,ARID1A,TP53,,,,,,,,,,,,
FAT1,ASXL3,RYR2,TP53,,,,,,,,,,,
PRKCB,LPHN2,SORCS3,MMP16,AFF2,FAT1,ASXL3,RYR2,TP53,,,,,,
MET,FAT1,RYR2,TP53,,,,,,,,,,,
RB1,EGFR,SMARCA4,ASXL3,,,,,,,,,,,
EIF4G1,FAT1,SVEP1,KMT2C,PTPRD,RYR2,TP53,,,,,,,,
EGFR,PTPRD,TP53,,,,,,,,,,,,
FN1,RB1,MGA,BRAF,EGFR,MMP16,CDH12,ASXL3,RYR2,TP53,,,,,
RB1,ATM,TP53,,,,,,,,,,,,
KMT2A,NF1,RYR2,TP53,,,,,,,,,,,
